State Abbreviation,Release Year,fips,Premature death ratio,Low birthweight ratio,Access to exercise opportunities ratio,Sexually transmitted infections ratio,Uninsured ratio,Primary care physicians ratio,Mental health providers ratio,date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,ST,STATE,ST_ABBR,STCNTY,COUNTY,SumPop,Sum_HU,Sum_HH,Mean_EP_POV,Mean_EP_UNEMP,MEAN_EP_POV,MEAN_EP_UNEMP,MEAN_EP_PCI,MEAN_EP_NOHSDP,MEAN_EP_AGE65,MEAN_EP_AGE17,MEAN_EP_DISABL,MEAN_EP_SNGPNT,MEAN_EP_MUNIT,MEAN_EP_MOBILE,MEAN_EP_CROWD,MEAN_EP_NOVEH,MEAN_EP_GROUPQ,MEAN_EP_UNINSUR
TX,2020,48001,0.006922789455305124,0.07307040890394387,0.2638988675630367,0.0037927988777471814,0.1960252935862692,0.0003463743267349024,0.0004306112957955113,2020-10-09,Anderson,Texas,2858,37,2858,108,48,TEXAS,TX,48001,Anderson,57863,20352,16459,14.727272727272727,2.8545454545454545,14.727272727272727,2.8545454545454545,17270.636363636364,19.127272727272725,14.545454545454545,20.554545454545455,12.336363636363636,10.454545454545455,3.7636363636363637,19.19090909090909,3.9818181818181815,4.7727272727272725,20.163636363636368,14.4
TX,2020,48003,0.003515487676262646,0.06292749658002736,0.9386581901798999,0.003667757589436858,0.22053520592142722,0.0005078433585374111,0.00016548984995586939,2020-10-09,Andrews,Texas,477,10,477,108,48,TEXAS,TX,48003,Andrews,17818,6207,5508,9.2,4.199999999999999,9.2,4.199999999999999,34442.5,25.35,10.200000000000001,31.1,8.774999999999999,6.65,2.075,26.625,7.124999999999999,2.5,0.35,18.7
TX,2020,48005,0.005623399887123028,0.09050048590864918,0.651277500547418,0.004783326689824042,0.2165753730926164,0.0005922213996925004,0.001343406971937721,2020-10-09,Angelina,Texas,2660,85,2214,66,48,TEXAS,TX,48005,Angelina,87607,36716,30783,19.094117647058823,8.523529411764704,19.094117647058823,8.523529411764704,22450.41176470588,19.094117647058823,15.952941176470588,25.494117647058825,18.894117647058824,12.347058823529414,4.147058823529412,19.041176470588233,5.129411764705883,5.676470588235294,3.3764705882352937,19.47058823529412
TX,2020,48007,0.007444394008170676,0.09263521288837745,0.8060281544174799,0.004770843109651181,0.2230243368881597,0.0003519474425152511,0.0007985877605917955,2020-10-09,Aransas,Texas,335,18,335,108,48,TEXAS,TX,48007,Aransas,24763,16054,9432,18.080000000000002,6.0200000000000005,18.080000000000002,6.0200000000000005,36017.6,13.12,30.560000000000002,17.54,20.5,6.8,7.88,17.360000000000003,4.12,5.359999999999999,1.2399999999999998,17.880000000000003
TX,2020,48009,0.005217028380634391,0.07977736549165121,0.22509388115749945,0.002043364740606198,0.18978205491084066,0.0,0.0,2020-10-09,Archer,Texas,89,1,89,108,48,TEXAS,TX,48009,Archer,8789,4150,3332,9.233333333333333,3.533333333333333,9.233333333333333,3.533333333333333,31845.666666666668,9.466666666666667,19.500000000000004,21.3,16.133333333333333,6.233333333333333,0.2333333333333333,9.1,1.4333333333333333,3.766666666666667,0.7666666666666666,11.4
TX,2020,48011,0.004911591355599214,0.08609271523178808,0.02524986849026828,0.061202767429483766,0.17614424410540916,0.0,0.0,2020-10-09,Armstrong,Texas,15,1,15,108,48,TEXAS,TX,48011,Armstrong,1916,932,708,7.3,0.9,7.3,0.9,31075.0,11.6,20.9,20.7,12.6,6.8,0.4,13.5,2.5,1.1,3.3,7.6
TX,2020,48013,0.004386909633969471,0.07989096246592577,0.4116586137026564,0.008186847961454441,0.19019730209783495,0.00016332863763500132,0.0003975352812562115,2020-10-09,Atascosa,Texas,1237,34,1237,1,48,TEXAS,TX,48013,Atascosa,48828,18244,15387,15.537500000000001,8.799999999999999,15.537500000000001,8.799999999999999,23271.375,25.525000000000002,15.125,26.975,11.774999999999999,9.775,0.2125,30.962500000000002,8.3875,6.9375,0.75,16.799999999999997
TX,2020,48015,0.004576244581557372,0.0794979079497908,0.26494703874441355,0.0024843886389578997,0.2024466099937798,0.00020143691667226215,0.0003334556003868085,2020-10-09,Austin,Texas,503,9,503,108,48,TEXAS,TX,48015,Austin,29565,13191,11041,11.333333333333334,4.8500000000000005,11.333333333333334,4.8500000000000005,30664.833333333332,16.966666666666665,18.666666666666668,23.95,12.9,6.983333333333333,1.5,16.816666666666666,5.116666666666666,4.55,0.9333333333333335,12.050000000000002
TX,2020,48017,0.0038319971764231332,0.07457627118644068,0.8212142358688067,0.003956478733926805,0.2733703890853967,0.000423908435777872,0.00028461647929415115,2020-10-09,Bailey,Texas,235,5,235,108,48,TEXAS,TX,48017,Bailey,7092,2545,2111,14.5,2.2,14.5,2.2,21449.0,25.9,14.1,28.5,13.2,11.6,2.1,9.6,7.8,3.9,2.8,20.6
TX,2020,48019,0.005819640873443536,0.09213863060016907,0.5848181596289969,0.002192295646727216,0.18650132642359182,0.00026844436490537334,0.0006133894146512443,2020-10-09,Bandera,Texas,176,8,176,108,48,TEXAS,TX,48019,Bandera,21763,11858,8242,13.760000000000002,4.84,13.760000000000002,4.84,28476.4,11.48,27.160000000000004,17.56,19.259999999999998,7.280000000000001,0.22000000000000003,25.28,2.58,1.72,3.2,17.619999999999997
