"URL","id","title","price","description"
"products/B01NAJGGA2.html","B01NAJGGA2","Mpow 059 Bluetooth Headphones","$35.99","Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode PC/Cell Phones/TV"
"products/B07JMSQLCP.html","B07JMSQLCP","APIE Bluetooth Headphones, Wireless Earbuds","$19.99","Bluetooth 4.1 with Microphone Sport Stereo Headset, Stereo Neckband Headset, Premium Sound with Bass, Noise Cancelling - Black"
"products/B018APC4LE.html","B018APC4LE","Bluetooth Headphones, Otium","$19.97","Best Wireless Sports Earphones W/Mic IPX7 Waterproof HD Stereo Sweatproof in Ear Earbuds Gym Running Workout 8 Hour Battery Noise Cancelling Headsets"
